09:32:48 startIndex 不能大于字符串长度。
参数名: startIndex
09:43:23 输入字符串的格式不正确。
09:43:26 输入字符串的格式不正确。
09:43:28 输入字符串的格式不正确。
09:43:31 输入字符串的格式不正确。
09:43:33 输入字符串的格式不正确。
09:43:38 输入字符串的格式不正确。
09:43:41 输入字符串的格式不正确。
09:43:43 输入字符串的格式不正确。
09:43:50 准备发送，队列：0

09:43:50 已发送给网关

09:43:51 输入字符串的格式不正确。
09:43:53 输入字符串的格式不正确。
09:44:01 输入字符串的格式不正确。
09:44:03 输入字符串的格式不正确。
09:44:05 远程主机强迫关闭了一个现有的连接。
09:44:14 注册成功
09:44:45 输入字符串的格式不正确。
09:44:45 输入字符串的格式不正确。
09:44:45 输入字符串的格式不正确。
09:44:45 输入字符串的格式不正确。
09:44:45 输入字符串的格式不正确。
09:44:46 输入字符串的格式不正确。
09:44:46 输入字符串的格式不正确。
09:44:46 准备发送，队列：1

09:44:46 已发送给网关

09:44:49 输入字符串的格式不正确。
09:44:51 输入字符串的格式不正确。
09:44:59 输入字符串的格式不正确。
09:45:02 输入字符串的格式不正确。
09:45:04 输入字符串的格式不正确。
09:45:09 输入字符串的格式不正确。
09:45:21 远程主机强迫关闭了一个现有的连接。
09:59:04 远程主机强迫关闭了一个现有的连接。
10:02:16 你的主机中的软件中止了一个已建立的连接。
10:04:20 注册成功
10:04:26 准备发送，队列：1

10:04:27 已发送给网关

10:04:27 远程主机强迫关闭了一个现有的连接。
10:05:40 注册成功
10:05:47 输入字符串的格式不正确。
10:05:51 输入字符串的格式不正确。
10:05:56 准备发送，队列：1

10:06:00 已发送给网关

10:06:04 输入字符串的格式不正确。
10:06:16 输入字符串的格式不正确。
10:06:27 输入字符串的格式不正确。
10:06:32 远程主机强迫关闭了一个现有的连接。
10:06:32 输入字符串的格式不正确。
10:06:32 输入字符串的格式不正确。
10:06:32 输入字符串的格式不正确。
10:06:32 输入字符串的格式不正确。
10:06:32 输入字符串的格式不正确。
10:06:32 输入字符串的格式不正确。
10:06:50 注册成功
10:07:02 输入字符串的格式不正确。
10:07:05 输入字符串的格式不正确。
10:07:13 准备发送，队列：1

10:07:13 已发送给网关

10:07:17 输入字符串的格式不正确。
10:07:20 输入字符串的格式不正确。
10:07:23 输入字符串的格式不正确。
10:07:32 输入字符串的格式不正确。
10:07:32 输入字符串的格式不正确。
10:07:32 输入字符串的格式不正确。
10:07:32 输入字符串的格式不正确。
10:07:33 输入字符串的格式不正确。
10:07:33 远程主机强迫关闭了一个现有的连接。
11:23:19 注册成功
11:23:26 准备发送，队列：0

11:23:28 已发送给网关

11:23:40 1抄表成功！值：0
11:23:59 远程主机强迫关闭了一个现有的连接。
11:25:35 注册成功
11:25:38 准备发送，队列：1

11:25:38 已发送给网关

11:25:48 1抄表成功！值：0
11:26:48 注册成功
11:26:51 准备发送，队列：0

11:26:52 已发送给网关

11:27:05 1抄表成功！值：0
11:28:34 注册成功
11:28:36 准备发送，队列：0

11:28:37 已发送给网关

11:28:47 1抄表成功！值：0.00195231
11:29:21 远程主机强迫关闭了一个现有的连接。
11:29:51 注册成功
11:29:54 准备发送，队列：1

11:29:55 已发送给网关

11:30:02 1抄表成功！值：0
11:30:39 远程主机强迫关闭了一个现有的连接。
11:31:19 注册成功
11:31:23 准备发送，队列：1

11:31:23 已发送给网关

11:31:31 1抄表成功！值：3.643376E-44
11:32:08 远程主机强迫关闭了一个现有的连接。
11:34:59 注册成功
11:35:02 准备发送，队列：1

11:35:02 已发送给网关

11:35:04 1抄表成功！值：0
11:35:30 注册成功
11:35:32 准备发送，队列：0

11:35:32 已发送给网关

11:35:34 1抄表成功！值：0
11:36:19 注册成功
11:36:20 准备发送，队列：0

11:36:20 已发送给网关

11:36:22 1抄表成功！值：0
11:36:49 注册成功
11:36:51 准备发送，队列：1

11:36:51 已发送给网关

11:36:55 准备发送，队列：0

11:36:55 已发送给网关

11:37:00 抄表失败
11:37:00 在位置 0 处没有任何行。
11:37:32 注册成功
11:37:33 准备发送，队列：0

11:37:33 已发送给网关

11:37:35 抄表失败
11:37:35 在位置 0 处没有任何行。
11:38:04 注册成功
11:38:05 准备发送，队列：0

11:38:05 已发送给网关

11:38:07 抄表失败
11:38:07 在位置 0 处没有任何行。
11:38:24 注册成功
11:38:26 准备发送，队列：0

11:38:26 已发送给网关

11:38:28 抄表失败
11:38:28 在位置 0 处没有任何行。
11:38:44 注册成功
11:38:47 准备发送，队列：0

11:38:48 已发送给网关

11:38:49 抄表失败
11:38:49 在位置 0 处没有任何行。
11:39:15 注册成功
11:39:16 准备发送，队列：0

11:39:16 已发送给网关

11:39:18 抄表失败
11:39:18 在位置 0 处没有任何行。
11:39:47 注册成功
11:39:48 准备发送，队列：0

11:39:48 已发送给网关

11:39:50 输入字符串的格式不正确。
11:41:02 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。
11:41:47 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。 171.221.216.228:6666
11:52:05 注册成功
11:52:06 准备发送，队列：1

11:52:06 已发送给网关

11:52:08 000016713281抄表成功！值：000234.32
11:52:50 远程主机强迫关闭了一个现有的连接。
14:21:42 注册成功
14:30:30 注册成功
14:31:29 注册成功
14:31:30 准备发送，队列：1

14:31:31 已发送给网关

14:31:34 1抄表成功！值：0.001489403
14:31:54 远程主机强迫关闭了一个现有的连接。
14:32:12 注册成功
14:32:54 远程主机强迫关闭了一个现有的连接。
14:33:09 注册成功
14:33:55 远程主机强迫关闭了一个现有的连接。
14:34:11 注册成功
14:34:47 准备发送，队列：1

14:34:47 已发送给网关

14:34:49 1抄表成功！值：0.001509224
14:34:54 远程主机强迫关闭了一个现有的连接。
14:35:07 注册成功
14:35:08 准备发送，队列：1

14:35:08 已发送给网关

14:35:10 1抄表成功！值：0.001565811
14:35:54 远程主机强迫关闭了一个现有的连接。
14:37:09 注册成功
14:37:10 准备发送，队列：1

14:37:10 已发送给网关

14:37:12 101抄表成功！值：3.270467
14:37:32 准备发送，队列：1

14:37:32 已发送给网关

14:37:33 1抄表成功！值：0.001553463
14:38:09 注册成功
14:38:10 准备发送，队列：0

14:38:10 已发送给网关

14:38:12 1抄表成功！值：0.09290712
14:38:21 准备发送，队列：0

14:38:21 已发送给网关

14:38:23 101抄表成功！值：0
14:38:34 准备发送，队列：0

14:38:34 已发送给网关

14:38:35 101抄表成功！值：0
14:38:45 准备发送，队列：0

14:38:45 已发送给网关

14:38:47 1抄表成功！值：0.09532151
14:39:05 注册成功
14:39:06 准备发送，队列：0

14:39:06 已发送给网关

14:39:08 1抄表成功！值：5.269217
14:39:26 准备发送，队列：0

14:39:26 已发送给网关

14:39:28 101抄表成功！值：0
14:39:58 注册成功
14:39:59 准备发送，队列：0

14:39:59 已发送给网关

14:40:01 101抄表成功！值：1.506332E-37
14:40:21 准备发送，队列：0

14:40:21 已发送给网关

14:40:23 1抄表成功！值：4.063766E-44
14:40:55 远程主机强迫关闭了一个现有的连接。
14:46:39 注册成功
14:46:40 准备发送，队列：1

14:46:40 已发送给网关

14:46:42 输入字符串的格式不正确。
14:47:21 准备发送，队列：0

14:47:24 已发送给网关

14:47:43 输入字符串的格式不正确。
14:47:43 远程主机强迫关闭了一个现有的连接。
14:53:21 注册成功
14:53:22 准备发送，队列：1

14:53:23 已发送给网关

14:53:26 101抄表成功！值：1.506332E-37
14:54:01 准备发送，队列：0

14:54:01 已发送给网关

14:54:01 101抄表成功！值：1.506332E-37
14:54:08 远程主机强迫关闭了一个现有的连接。
14:56:25 注册成功
14:56:26 准备发送，队列：1

14:56:27 已发送给网关

14:56:28 101抄表成功！值：1.506332E-37
14:56:56 准备发送，队列：1

14:56:56 已发送给网关

14:56:58 1抄表成功！值：4.344025E-44
14:57:08 远程主机强迫关闭了一个现有的连接。
14:57:29 注册成功
14:57:30 准备发送，队列：1

14:57:30 已发送给网关

14:57:32 1抄表成功！值：4.344025E-44
14:58:08 远程主机强迫关闭了一个现有的连接。
15:00:00 注册成功
15:00:08 准备发送，队列：1

15:00:11 已发送给网关

15:00:19 输入字符串的格式不正确。
15:00:49 远程主机强迫关闭了一个现有的连接。
15:10:42 注册成功
15:10:44 准备发送，队列：1

15:10:45 已发送给网关

15:10:47 将 float 转换为数据类型 numeric 时出现算术溢出错误。
语句已终止。
15:10:47 抄表失败
15:10:47 将 float 转换为数据类型 numeric 时出现算术溢出错误。
语句已终止。
15:11:25 远程主机强迫关闭了一个现有的连接。
15:12:37 注册成功
15:12:39 准备发送，队列：1

15:12:45 已发送给网关

15:12:52 输入字符串的格式不正确。
15:13:33 远程主机强迫关闭了一个现有的连接。
15:14:22 注册成功
15:14:25 准备发送，队列：1

15:14:27 已发送给网关

15:14:27 1抄表成功！值：4.484155E-44
15:15:34 注册成功
15:15:35 准备发送，队列：0

15:15:35 已发送给网关

15:15:37 1抄表成功！值：0
15:16:20 注册成功
15:16:21 准备发送，队列：0

15:16:21 已发送给网关

15:16:23 1抄表成功！值：4.484155E-44
15:17:16 远程主机强迫关闭了一个现有的连接。
15:19:12 注册成功
15:19:13 准备发送，队列：1

15:19:13 已发送给网关

15:19:15 1抄表成功！值：0.001476182
15:20:01 远程主机强迫关闭了一个现有的连接。
15:22:54 注册成功
15:22:55 准备发送，队列：1

15:22:55 已发送给网关

15:22:56 1抄表成功！值：4.624285E-44
15:23:30 准备发送，队列：1

15:23:30 已发送给网关

15:23:33 101抄表成功！值：1.506332E-37
15:23:44 远程主机强迫关闭了一个现有的连接。
15:27:56 注册成功
15:27:57 准备发送，队列：1

15:27:57 已发送给网关

15:27:59 101抄表成功！值：1.506332E-37
15:28:44 远程主机强迫关闭了一个现有的连接。
15:32:41 注册成功
15:32:42 准备发送，队列：1

15:32:42 已发送给网关

15:32:44 101抄表成功！值：1.506332E-37
15:33:31 远程主机强迫关闭了一个现有的连接。
15:36:26 注册成功
15:36:27 准备发送，队列：1

15:36:27 已发送给网关

15:36:30 1抄表成功！值：4.764415E-44
15:36:35 远程主机强迫关闭了一个现有的连接。
15:50:22 注册成功
15:50:24 准备发送，队列：1

15:50:24 已发送给网关

15:50:30 1抄表成功！值：4.764415E-44
15:51:14 远程主机强迫关闭了一个现有的连接。
15:51:54 注册成功
15:51:55 准备发送，队列：1

15:51:55 已发送给网关

15:51:57 1抄表成功！值：9.66458
15:52:43 远程主机强迫关闭了一个现有的连接。
15:55:46 注册成功
15:55:47 准备发送，队列：1

15:55:48 已发送给网关

15:55:50 1抄表成功！值：0.1465107
15:56:38 远程主机强迫关闭了一个现有的连接。
16:19:48 注册成功
16:19:49 准备发送，队列：1

16:19:50 已发送给网关

16:19:52 101抄表成功！值：3.208206
16:20:34 远程主机强迫关闭了一个现有的连接。
16:27:13 注册成功
16:27:14 准备发送，队列：1

16:27:14 已发送给网关

16:27:17 1抄表成功！值：0.002344396
16:27:34 远程主机强迫关闭了一个现有的连接。
16:37:16 注册成功
16:37:17 准备发送，队列：1

16:37:18 已发送给网关

16:37:20 1抄表成功！值：0
16:37:49 注册成功
16:37:50 准备发送，队列：0

16:37:50 已发送给网关

16:37:52 1抄表成功！值：0
16:38:14 注册成功
16:38:15 准备发送，队列：0

16:38:15 已发送给网关

16:38:22 输入字符串的格式不正确。
16:38:27 1抄表成功！值：0
